ID,Kr,En,Jp
Skill_PhantomBlitz,팬텀 블리츠,Phantom Blitz,ファントムブリッツ
Skill_SpiritofSnow,눈의 정령,Spirit of Snow,雪の精霊
Skill_StompStun,발 구르기,Stomp,踏みつけ
Desc_SpiderBite,적을 물어 피해를 준다,Bites the enemy to deal damage,敵を噛んでダメージを与える
Desc_SpiderSplitSKill,거미가 사망시 분열을 한다.,The spider splits apart when it dies.,蜘蛛は死亡時に分裂する。
Desc_SpiderToxin_Dash,독거미가 일정거리 빠르게 이동을 한다,The toxic spider dashes a set distance quickly,毒蜘蛛が一定距離を素早く移動する
Desc_SpiderKing_Summon,여왕 거미가 거미를 소환한다,The Spider Queen summons spiders,女王蜘蛛が蜘蛛を召喚する
Desc_Heal,일정 범위 내 아군을 지속 회복시킨다,Continuously heals allies within range,範囲内の味方を継続的に回復する
Desc_Scorpion_Shield,펠루시아 의 전갈이 보호막을 둘러 주변 적 들의 받는 피해를 감소 시킨다.,The scorpion of Felucia raises a barrier that reduces damage taken by nearby enemies.,フェルシアのサソリがバリアを張り、周囲の敵が受けるダメージを軽減する。
Desc_DeathRushAttack,죽음의 분쇄자가 강력한 의지를 담아 영웅을 향하여 연속으로 공격을 한다.,The Death Crusher charges the heroes and strikes repeatedly with overwhelming will.,死の粉砕者が強い意志を込めて英雄に向かって連続で攻撃する。
Desc_DamageZoneSkill,박쥐가 주변 영웅에게 초음파를 이용해 일정 주기마다 피해를 입힌다.,The bat uses ultrasonic waves to damage nearby heroes at regular intervals.,コウモリが超音波を使って周囲の英雄に一定周期でダメージを与える。
Desc_ExplosivedSkill,고대 병기 골렘이 사망시 골렘의 핵이 폭발해 주변 영웅에게 자폭데미지를 입힌다.,When the ancient weapon golem dies its core detonates and damages nearby heroes.,古代兵器ゴーレムが死亡すると核が爆発し、周囲の英雄にダメージを与える。
Desc_FireZoneSkill,주변에 화염을 둘러 영웅들에게 피해를 준다,Wreathes itself in flame to damage nearby heroes,周囲に炎をまとい英雄たちにダメージを与える
Desc_PhantomBlitz,분신을 흩뿌려 사거리 안의 영웅들을 하나씩 스치고 지나가며 연속으로 베어낸다.,Scatters afterimages that graze each hero in range and cut them down in sequence.,分身を放ち、射程内の英雄を一人ずつすれ違いざまに連続で斬りつける。
Desc_SpiritofSnow,주변에 냉기를 퍼뜨려 사거리 안의 영웅들을 빙결시킨다. 빙결된 영웅은 공격속도와 이동속도 방어력이 떨어진다.,Spreads chill that Frosts heroes in range lowering attack speed move speed and defense.,周囲に冷気を広げ射程内の英雄を氷結させる。氷結した英雄は攻撃速度と移動速度、防御力が下がる。
Desc_StompStun,바닥을 내려찍어 주변 영웅에게 기절을 건다.,Slams the ground to stun nearby heroes.,地面を踏みつけ、周囲の英雄を気絶させる。
Stat_Attack,공격력,Attack,攻撃力
Stat_AttackSpeed,공격속도,AttackSpeed,攻撃速度
Stat_Health,체력,Health,体力
Stat_MoveSpeed,이동속도,MoveSpeed,移動速度
Stat_Defense,방어력,Defense,防御力
Stat_Range,사거리,Range,射程
LockEnemyText,아직 해금되지 않은 적 입니다.,This enemy has not been unlocked yet.,まだ解放されていない敵です。
None,특성 없음,None,特性なし
Cloaking,은신,Stealth,隠密
Fly,공중,Flying,飛行
UnJudged,저지 불가,Unblockable,阻止不可
Berserk,폭주,Berserk,暴走
Regeneration,재생,Regeneration,再生
HitsShield,타수 보호막,Hit Shield,打数バリア
Burrow,잠복,Burrow,潜伏
Flame,화염족,Flame,炎族
Swim,수영,Swim,遊泳
Cloaking_Desc,외부로부터 외형을 숨겨 공격 대상에서 제외된다. 저지 했을 시에만 공격 할 수 있다.,Hides its form and is excluded from targeting. It can only be attacked while blocked.,姿を隠して攻撃対象から外れる。阻止されている時のみ攻撃できる。
Fly_Desc,원거리 유닛만 공격할 수 있다. 그리고 지형지물을 무시하고 이동한다,Only ranged units can attack it. It also ignores terrain and moves freely.,遠距離ユニットのみ攻撃できる。また地形を無視して移動する。
UnJudged_Desc,저지할 수 없어 막는 유닛을 통과한다,Cannot be blocked and passes through blockers,阻止できずブロックユニットを通り抜ける
Berserk_Desc,체력 50% 이하일 때 이동속도와 공격력이 증가한다,Gains move speed and attack below 50% HP,HPが50%以下で移動速度と攻撃力が上昇する
Regeneration_Desc,체력을 계속 회복한다.,Rapidly regenerates HP over time,時間経過でHPが急速に回復する
HitsShield_Desc,받는 피해가 1로 고정되며 일정 타수만큼만 피해를 받는다,Takes 1 fixed damage per hit for a set number of hits,被ダメージが1に固定され一定の打数だけダメージを受ける
Burrow_Desc,땅속에 숨어 이동을 하며 공격대상에서 제외된다. 저지 했을 시 영웅에게 피해를 주며 기절을 걸고 밖으로 나온다.,Moves hidden underground and is excluded from targeting. When blocked it damages and stuns the hero then surfaces.,地中に隠れて移動し攻撃対象から外れる。阻止された時は英雄にダメージと気絶を与えて地上に出る。
Flame_Desc,모든 불 데미지에 면역이며 불에 닿으면 고유 특성으로 화염의 오라 를 사용 한다.,Immune to all fire damage. On contact with fire it uses its innate Flame Aura.,全ての火炎ダメージに免疫を持ち、炎に触れると固有特性の炎のオーラを使用する。
Swim_Desc,물 타일에서 수영으로 지나 갈 수 있으며 물 에서는 이동속도가 증가한다.,Can swim across water tiles and moves faster while in water.,水タイルを泳いで渡ることができ、水中では移動速度が上がる。
ToolTip_HeroIcon,영웅 소환 (단축키: C),HeroSpawn (Shortcut: C),英雄召喚 (ショートカット: C)
ToolTip_Upgrade,업그레이드 (단축키: U),Upgrade (Shortcut: U),アップグレード (ショートカット: U)
Melee_Hero_Create,근거리 영웅 생성,Create Melee Hero,近接英雄生成
Ranged_Hero_Create,원거리 영웅 생성,Create Ranged Hero,遠距離英雄生成
Hero_BraveCitizen_Name,용감한 시민,Brave Citizen,勇敢な市民
Hero_Volunteer_Name,의용병,Volunteer,義勇兵
Hero_Warrior_Name,전사,Warrior,戦士
Hero_Archer_Name,궁수,Archer,弓兵
Hero_Mage_Name,마법사,Mage,魔法使い
Hero_Fighter_Name,격투가,Fighter,格闘家
Hero_Lancer_Name,창기병,Lancer,槍騎兵
Hero_Berserker_Name,광전사,Berserker,狂戦士
Hero_Mercenary_Name,용병,Mercenary,傭兵
Hero_Monk_Name,수도사,Monk,修道士
Hero_FireMage_Name,화염술사,Fire Mage,火炎術師
Hero_Hunter_Name,사냥꾼,Hunter,狩人
Hero_Knight_Name,기사,Knight,騎士
Hero_ThunderMage_Name,번개술사,Thunder Mage,雷術師
Hero_Ninja_Name,닌자,Ninja,忍者
Hero_Samurai_Name,사무라이,Samurai,侍
Hero_Vagabond_Name,방랑자,Vagabond,放浪者
Hero_ArchMage_Name,대마법사,Archmage,大魔法使い
Hero_Destroyer_Name,파괴자,Destroyer,破壊者
Hero_Seeker_Name,진리 탐구자,Seeker,真理探究者
Hero_Babarian_Name,바바리안,Barbarian,バーバリアン
Hero_BowMaster_Name,신궁,Bow Master,弓聖
Hero_DragonSlayer_Name,용살자,Dragon Slayer,竜殺し
Hero_Dragoon_Name,용기병,Dragoon,竜騎兵
Hero_Inquisitor_Name,심문관,Inquisitor,審問官
Hero_MadScientist_Name,미친 과학자,Mad Scientist,狂った科学者
Hero_Penetrator_Name,꿰뚫는 기사,Penetrator,貫く騎士
Hero_Smasher_Name,분쇄자,Smasher,粉砕者
Hero_Usurper_Name,찬탈자,Usurper,簒奪者
Hero_BraveCitizen_Desc,대충만든 장비를 들고 무모하게 전장에 뛰쳐나온 용감한 시민이다. 아무 능력이 없다.,A brave citizen who rushed recklessly into battle with crudely made gear. Has no special abilities.,粗末な装備を持って無謀にも戦場に飛び出した勇敢な市民だ。特別な能力は持っていない。
Hero_Volunteer_Desc,성을 지키기 위해 군에 자원한 시민이다. 빈약한 화살로 원거리 공격을 한다.,A citizen who volunteered for the army to defend the castle. Attacks from range with feeble arrows.,城を守るために軍に志願した市民だ。貧弱な矢で遠距離攻撃を行う。
Hero_Warrior_Desc,기초 훈련 과정을 통과한 병사다. 체력과 방어력이 상대적으로 높다. 땅을 강하게 내려찍어 적을 기절시킨다.,A soldier who has completed basic training. Has relatively high health and defense. Slams the ground hard to stun enemies.,基礎訓練課程を終えた兵士だ。体力と防御力が比較的高い。地面を強く叩きつけて敵を気絶させる。
Hero_Archer_Desc,기초 훈련 과정을 통과한 궁병이다. 화살을 빠르게 쏠 수 있는 능력을 가지고 있다. 가끔 화살 3발을 연속으로 쏜다.,An archer who has completed basic training. Can fire arrows quickly. Occasionally fires 3 arrows in a row.,基礎訓練課程を終えた弓兵だ。矢を素早く放つ能力を持つ。時々矢を3発連続で放つ。
Hero_Mage_Desc,마법을 익힌지 얼마 안 된 초보 마법사이다. 아직 마법을 빠르게 쓸 수는 없지만 강한 마법을 쓸 때가 있다. 제법 재능이 있는 모양이다.,"A novice mage who has only recently learned magic. Cannot yet cast spells quickly, but occasionally unleashes powerful magic. Seems to have real talent.",魔法を覚えたばかりの見習い魔法使いだ。まだ素早く魔法を使うことはできないが、時折強力な魔法を放つ。かなりの才能があるようだ。
Hero_Fighter_Desc,뒷골목에서 주먹으로 이름 좀 날렸던 싸움꾼이다. 무기가 없어서 공격 사거리가 매우 짧다. 발차기 공격이 강력하다.,"A brawler who made a name for himself with his fists in back alleys. Has no weapon, so his attack range is very short. His kick attacks are powerful.",裏路地で拳の腕前を轟かせた喧嘩師だ。武器がないため攻撃射程が非常に短い。蹴り攻撃が強力だ。
Hero_Lancer_Desc,기초 훈련 과정을 통과한 창병이다. 날카로운 창으로 뒤에 있는 적들까지 모두 꿰뚫을 수 있다. 평소엔 느리지만 힘을 내면 빠르게 찌르는 공격을 할 수 있다.,"A spearman who has completed basic training. His sharp spear can pierce through enemies standing behind the target. Normally slow, but can unleash a quick thrusting attack when he musters his strength.",基礎訓練課程を終えた槍兵だ。鋭い槍で後ろにいる敵まで貫くことができる。普段は遅いが、力を込めれば素早い突き攻撃を繰り出せる。
Hero_Berserker_Desc,"싸움과 피에 미친 광전사다. 적을 공격할 때마다 공격 속도가 빨라지고, 적이 흘린 피를 흡수해 자신의 체력을 회복한다.","A berserker crazed by battle and blood. His attack speed increases with every strike, and he absorbs the enemy's spilled blood to heal himself.",戦いと血に狂った狂戦士だ。敵を攻撃するたびに攻撃速度が上がり、敵が流した血を吸収して自らの体力を回復する。
Hero_Mercenary_Desc,셀 수 없이 많은 의뢰를 완수한 베테랑 용병이다. 직접 고용되어 전장에 참여하였다. 적들을 위압하여 이동속도를 늦춘다.,A veteran mercenary who has completed countless contracts. Hired directly to join the battlefield. Intimidates enemies to slow their movement speed.,数え切れないほどの依頼をこなしたベテラン傭兵だ。直接雇われて戦場に参加した。敵を威圧して移動速度を落とす。
Hero_Monk_Desc,오랜 세월의 수행 덕에 깨달음을 얻은 수도사이다. 무기 없이도 강하며 가끔 기를 발사할 때가 있다.,"A monk who attained enlightenment through years of training. Strong even without a weapon, and occasionally fires bolts of energy.",長年の修行の末に悟りを開いた修道士だ。武器がなくとも強く、時折気弾を放つことがある。
Hero_FireMage_Desc,화염 마법을 전문으로 사용하는 마법사이다. 범위 공격에 특화되어 있다. 강력한 마법은 불 장판을 남긴다.,A mage specializing in fire magic. Specialized in area attacks. His powerful spells leave a burning field behind.,炎の魔法を専門とする魔法使いだ。範囲攻撃に特化している。強力な魔法は炎の地帯を残す。
Hero_Hunter_Desc,펠루시아 대륙 생물 전문 사냥꾼이다. 화살에 독을 발라 적을 확실히 처리하며 한 번에 화살 3발을 발사한다.,"A hunter specializing in the creatures of Felucia. Coats his arrows with poison to finish off enemies for certain, and fires 3 arrows at once.",フェルシア大陸の生物を専門とする狩人だ。矢に毒を塗って確実に敵を仕留め、一度に矢を3発放つ。
Hero_Knight_Desc,개척자 왕에게 충성을 맹세한 기사이다. 전문 훈련을 받아 체력과 방어력이 뛰어나다. 주위를 검으로 강하게 휘둘러 적을 기절시킨다. ,"A knight who has sworn loyalty to the Pioneer King. Professionally trained, with excellent health and defense. Swings his sword hard around him to stun enemies.",開拓者の王に忠誠を誓った騎士だ。専門的な訓練を受け、体力と防御力に優れる。周囲を剣で強く振り払い敵を気絶させる。
Hero_ThunderMage_Desc,번개 마법을 전문으로 사용하는 마법사이다. 영창이 빨라 빠르게 공격한다. 번개 마법으로 공격했을 때 피격된 적 근처의 적을 연쇄적으로 타격한다. ,"A mage specializing in lightning magic. Her chanting is fast, allowing her to attack quickly. When her lightning magic strikes, it chains to enemies near the target.",雷の魔法を専門とする魔法使いだ。詠唱が速く素早く攻撃する。雷魔法で攻撃すると、被弾した敵の近くの敵にも連鎖的に命中する。
Hero_Ninja_Desc,동양의 닌자를 따라하는 괴짜이지만 실력은 뛰어나다. 수리검을 던져 공격한다. 높이 뛰어올라 적들을 향해 수리검 여러 개를 던진다.,"An eccentric who imitates the ninjas of the East, but his skills are excellent. Attacks by throwing shuriken. Leaps high into the air and throws multiple shuriken at enemies.",東洋の忍者を真似る変わり者だが、腕前は優れている。手裏剣を投げて攻撃する。高く跳び上がり敵に向けて手裏剣を複数投げつける。
Hero_Samurai_Desc,동양의 사무라이를 따라하는 괴짜이지만 실력은 뛰어나다. 카타나를 휘둘러 공격하며 검기를 날려 공격할 수 있다.,"An eccentric who imitates the samurai of the East, but his skills are excellent. Attacks by swinging his katana, and can also unleash slashing energy waves.",東洋の侍を真似る変わり者だが、腕前は優れている。刀を振るって攻撃し、剣気を飛ばして攻撃することもできる。
Hero_Vagabond_Desc,펠루시아 대륙을 떠돌던 방랑자이다. 홀로 떠돌며 여러 적들과 싸우며 터득한 전투술과 생존기술을 가지고 있다. 창으로 적을 공격하여 출혈을 일으킬 수 있다.,"A vagabond who has wandered the continent of Felucia. Through countless solitary battles, he has mastered combat and survival skills. Attacks enemies with his spear to inflict bleeding.",フェルシア大陸をさすらう放浪者だ。一人でさすらいながら数々の敵と戦い、戦闘術と生存技術を身につけた。槍で敵を攻撃し出血を引き起こすことができる。
Hero_ArchMage_Desc,마법사들의 정점에 선 대마법사이다. 여타 마법사들보다 강력한 마법을 시전할 수 있다. 시전되는 동안 지속적으로 피해를 입힐 수 있는 마법 레이저를 3개 쏠 수 있다. ,An archmage standing at the pinnacle of all mages. Can cast far more powerful magic than other mages. Can fire 3 magic lasers that continuously deal damage while active.,魔法使いたちの頂点に立つ大魔法使いだ。他の魔法使いよりも強力な魔法を詠唱できる。詠唱中持続的にダメージを与える魔法のレーザーを3本放つことができる。
Hero_Destroyer_Desc,금지된 마법을 다뤄 마법계에서 퇴출된 마법사이다. 금지 마법은 강력한 파괴력으로 모든 것을 소멸시킨다. ,A mage expelled from the magic world for wielding forbidden magic. His forbidden magic annihilates everything with tremendous destructive power.,禁じられた魔法を扱い、魔法界から追放された魔法使いだ。禁忌の魔法は強力な破壊力で全てを消滅させる。
Hero_Seeker_Desc,"마법의 근원, 진리를 집요하게 연구하는 마법사이다. 오랜 연구 끝에 진리에 발을 담구자 정신이 나가버렸다. 괴상한 옷차림으로 항상 웃고 다닌다.","A mage who relentlessly researches the source of magic, the truth itself. After years of research, the moment he touched upon the truth, he lost his mind. He wanders about in bizarre clothing, always smiling.",魔法の根源、真理を執拗に研究する魔法使いだ。長年の研究の末、真理に足を踏み入れた瞬間、正気を失ってしまった。奇妙な服装でいつも笑いながら歩き回る。
Hero_Babarian_Desc,날카로운 도끼 두 자루로 적을 도륙내는 전사이다. 적을 공격할 수록 공격 속도가 빨라지며 주위에 도끼를 휘둘러 적을 믹서기처럼 갈아버린다.,"A warrior who slaughters enemies with two sharp axes. His attack speed increases the more he attacks, and he swings his axes around him, grinding enemies like a blender.",鋭い斧2本で敵を切り刻む戦士だ。敵を攻撃するほど攻撃速度が上がり、周囲に斧を振り回して敵をミキサーのように粉砕する。
Hero_BowMaster_Desc,활의 정점에 선 자이다. 쉬지 않고 연속으로 활을 쏠 수 있다. ,One who stands at the pinnacle of archery. Can fire his bow continuously without rest.,弓の頂点に立つ者だ。休むことなく連続で弓を放つことができる。
Hero_DragonSlayer_Desc,드래곤을 죽인 경험이 있는 강력한 전사이다. 대검을 강하게 휘두르면 공중에 있는 적들도 무참히 썰어버릴 수 있다.,"A powerful warrior who has slain a dragon before. When he swings his greatsword with force, he can mercilessly cut down even airborne enemies.",ドラゴンを倒した経験を持つ強力な戦士だ。大剣を強く振るえば、空中の敵さえも無慈悲に切り裂くことができる。
Hero_Dragoon_Desc,전장을 누비며 수많은 공훈을 세운 기병이다. 활로 직선 방향의 모든 것을 꿰뚫는 강력한 화살을 발사한다.,A cavalryman who has earned countless honors across the battlefield. Fires a powerful arrow from his bow that pierces through everything in a straight line.,戦場を駆け巡り数多くの功績を打ち立てた騎兵だ。弓で直線上の全てを貫く強力な矢を放つ。
Hero_Inquisitor_Desc,타협이 없는 이단 심문관이다. 펠루시아 생물들을 모두 섬멸당해야 마땅한 악마들로 여긴다. 주위의 적들을 잠시 속박할 수 있다.,An uncompromising inquisitor of heresy. He considers all creatures of Felucia to be demons deserving total annihilation. Can briefly bind nearby enemies.,妥協のない異端審問官だ。フェルシアの生物たちを全て滅ぼされるべき悪魔だと見なしている。周囲の敵を一時的に拘束することができる。
Hero_MadScientist_Desc,위험한 실험을 즐기는 과학자이다. 펠루시아 대륙의 생태와 환경에 대해 박식하며 그들에게 치명적인 요소도 모두 파악하고 있다. 약병을 던져 생물들에게 치명적인 영역을 생성한다.,"A scientist who enjoys dangerous experiments. Highly knowledgeable about the ecology and environment of Felucia, and fully aware of everything lethal to its creatures. Throws vials to create a lethal zone for enemies.",危険な実験を楽しむ科学者だ。フェルシア大陸の生態と環境に精通しており、生物にとって致命的な要素も全て把握している。薬瓶を投げて生物に致命的な領域を作り出す。
Hero_Penetrator_Desc,자신의 창에 적들을 꼬챙이로 만드는 것을 즐기는 잔인한 창기사이다. 날카로운 창이 빠른 속도로 적들의 몸에 구멍을 만든다.,A cruel lancer who enjoys skewering enemies on his spear. His sharp spear pierces holes through enemies' bodies at great speed.,自分の槍で敵を串刺しにすることを好む残忍な槍騎士だ。鋭い槍が高速で敵の体に穴を開ける。
Hero_Smasher_Desc,거대한 망치를 휘두루는 전사다. 거대한 망치로 땅을 내려치면 지진을 일으킬 수 있을 정도로 강력하다. 공격 한 번 한 번이 적들을 정신차리지 못하게 한다.,"A warrior who wields a massive hammer. When he slams it into the ground, it is powerful enough to cause an earthquake. Each of his attacks leaves enemies reeling.",巨大なハンマーを振るう戦士だ。巨大なハンマーで地面を叩きつけると地震を起こせるほど強力だ。一撃一撃が敵を立ち直れなくさせる。
Hero_Usurper_Desc,나약한 지도자를 밀어내고 정점의 자리에 앉은 찬탈자이다. 절대적인 힘이 있어야 펠루시아 대륙을 정복하고 인류를 구원할 수 있다고 굳게 믿고 있다. 대검을 휘두를 때마다 전방의 적들을 쓸어버릴 수 있는 강력한 검기를 발사한다.,A usurper who pushed aside a weak leader to sit at the summit of power. He firmly believes that only absolute power can conquer the continent of Felucia and save humanity. Every swing of his greatsword unleashes a powerful blade wave that sweeps away enemies ahead of him.,軟弱な指導者を追い落とし頂点の座に就いた簒奪者だ。絶対的な力があってこそフェルシア大陸を征服し人類を救えると固く信じている。大剣を振るうたびに前方の敵を薙ぎ払う強力な剣気を放つ。
Hero_Archive,영웅 도감,Hero Archive,英雄図鑑
Guide_GamePlayButton,게임 플레이,GamePlay,ゲームプレイ
Guide_HeroButton,영웅,Hero,英雄
Guide_BaseButton,거점,Base,拠点
Guide_EnemyButton,적,Enemy,敵
Guide_ResourceButton,자원,Resource,資源
Guide_CitizenButton,시민,Citizen,市民
Guide_DayNIghtButton,낮/밤,Day/Night,昼/夜
Guide_HeroTypeButton,영웅 종류,Hero Type,英雄の種類
Guide_HeroMergeButton,합성,Merge,合成
Guide_HeroCreateAndPlaceButton,생성과 배치,Create & Place,生成と配置
Guide_BaseBuildButton,건설,Build,建設
Guide_BaseMainButton,중앙 거점,Central Base,中央拠点
Guide_BaseUnlockButton,해금,Unlock,解放
Guide_ResourceInfo,게임 전반에 걸쳐 필요한 요소이다.\n거점의 생산 건물을 건설 후 시민을 배치하면 자원을 생산할 수 있다.,An element needed throughout the entire game.\nBuild a production building at a base and assign citizens to it to produce resources.,ゲーム全体を通して必要な要素だ。\n拠点に生産建物を建設した後、市民を配置すると資源を生産できる。
Guide_SpecialResourceButton,펠리움,Fellium,フェリウム
